"","SpecName","PalmTribe","PalmSubfamily","AverageFruitLength_cm","accAfrica","moist0_dry1","genus","species","area_code_l3","area","region","continent","Americas","Asia","Africa","Madagascar","Pacific","accRealm"
"1","Acanthophoenix_crinita","Areceae","Arecoideae","0.65","1","0","Acanthophoenix","crinita","REU","Réunion","Western Indian Ocean","AFRICA","0","0","1","0","0","Africa"
"2","Acanthophoenix_rousselii","Areceae","Arecoideae","2","1","0","Acanthophoenix","rousselii","REU","Réunion","Western Indian Ocean","AFRICA","0","0","1","0","0","Africa"
"3","Acanthophoenix_rubra","Areceae","Arecoideae","1","1","0","Acanthophoenix","rubra","MAU","Mauritius","Western Indian Ocean","AFRICA","0","0","1","0","0","Africa"
"4","Acanthophoenix_rubra","Areceae","Arecoideae","1","1","0","Acanthophoenix","rubra","REU","Réunion","Western Indian Ocean","AFRICA","0","0","1","0","0","Africa"
"5","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","JAM","Jamaica","Caribbean","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"6","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","PAN","Panamá","Central America","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"7","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","FRG","French Guiana","Northern South America","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"8","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","DOM","Dominican Republic","Caribbean","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"9","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","ELS","El Salvador","Central America","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"10","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","BZN","Brazil North","Brazil","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"11","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","TRT","Trinidad-Tobago","Caribbean","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"12","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","VEN","Venezuela","Northern South America","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"13","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","SUR","Suriname","Northern South America","SOUTHERN AMERICA","1","0","0","0","0","Americas"
"14","Acrocomia_aculeata","Cocoseae","Arecoideae","4.25","0","0","Acrocomia","aculeata","LEE","Leeward Is.","Caribbean","SOUTHERN AMERICA","1","0","0","0","0","Americas"
